Tests,test_50_1000_0,test_50_1000_1,test_50_100_0,test_50_100_1,test_50_10_0,test_50_10_1,test_50_4_0,test_50_4_1,test_50_4_2,test_50_4_3,test_50_500_0,test_50_500_1,test_50_50_0,test_50_50_1,test_50_50_2,test_50_50_3,test_50_50_4,test_50_50_5,
Greedy,1608.0,1639.0,524.0,471.0,144.0,139.0,6.0,6.0,76.0,72.0,1092.0,1136.0,362.0,360.0,110.0,110.0,291.0,281.0,
Christofides,2039.0,1931.0,598.0,551.0,140.0,145.0,6.0,6.0,76.0,71.0,1362.0,1280.0,424.0,381.0,200.0,130.0,299.0,310.0,
